,Traits,Is Categorize Trait,,,,
0,user_id,N,,,N,numeric trait
1,date_of_birth,N,,,Y,"categorize trait, binary "
2,chrom_sex,N,,,C,"categorize trait, not binary "
3,"Intolerance: gluten, casein, soy",Y,,,O,"categorize trait, but only one group"
4,Artistic Talent,Y,,,Y-G,"categorize trait, the number of one of groups is too small"
5,brown hair colour blue eyes,C,,,U,all the value is unknown
6,Diagnosed with Sleep Apnea?,Y,,,,
7,Clotting disorder,Y,,,,
8,A+,C,,,,
9,Do you like the taste of bananas?,Y,,,,
10,Female with Ring Finger longer than Index Finger,Y,,,,
11,Hair and eye color Brown,C,,,,
12,Boldness type,Y,,,,
13,Toe Thumbs,O,,,,
14,At what altitude you live or have lived most of their lives?,N,,,,
15,Dyscalculia,Y,,,,
16,IQ,N,,,,
17,Insect bites and stings,C,,,,
18,Urticaria,C,,,,
19,Impacted Canines,Y,,,,
20,Nationality,C,,,,
21,Keratoconus Disease,Y,,,,
22,Seborrhoeic Dermatitis,Y,,,,
23,Hypomagnesemia,Y,,,,
24,Can You Spread Your Toes? ,Y,,,,
25,mthfr,C,,,,
26,Beard Color,C,,,,
27,Birth year,N,,,,
28,eye colour,C,,,,
29,Red Hair,Y,,,,
30,rolled tongue,Y,,,,
31,Female Pattern Baldnes,C,,,,
32,Melasma,C,,,,
33,Bicuspid aortic valve,C,,,,
34,Mirror Touch Synesthesia,Y,,,,
35,Blood Type,C,,,,
36,Enneagram Personality Type,C,,,,
37,Easiness to navigate/orientate,C,,,,
38,prognathism,Y,,,,
39,Body shape,C,,,,
40,Ability to Tan,C,,,,
41,autism,C,,,,
42,Jogger,Y,,,,
43,Skin dry,Y,,,,
44,(Male) Nipple's size,C,,,,
45,I dance....,C,,,,
46,Sexual Preferences,C,,,,
47,Broad face,Y,,,,
48,Interests-General,C,,,,
49,Haemophilia/Hemophilia,Y,,,,
50,Do You Suffer From Agoraphobia?,Y,,,,
51,Thyroid Issues/Cancer,C,,,,
52,Do you grind your teeth,Y,,,,
53,Response to Enbrel,U,,,,
54,glass eye,C,,,,
55,Pressure Sensitivity of the Ear,C,,,,
56,Mental Disease,C,,,,
57,ENTP,C,,,,
58,Laterality,C,,,,
59,Keloid,Y,,,,
60,"Blood Type A1, Rh positive",C,,,,
61,brunette,C,,,,
62,Sleep Disorders,C,,,,
63,Kell Blood Group (K/k antigens)  ,C,,,,
64,Reading habits,C,,,,
65,Penis Length,N,,,,
66,"White skin, black straight  hair, B+",C,,,,
67,Daily Sleep Duration (hours),N,,,,
68,Large tonsil crypts and tonsil stones,Y,,,,
69,black skin,Y,,,,
70,One Warrior Gene/One Non-Warrior Gene ,O,,,,
71,MBTI (Myers Briggs) Type,C,,,,
72,Lisp,Y,,,,
73,AB +,C,,,,
74,Allergy to artificial grape flavoring,Y,,,,
75,Lipoma,Y,,,,
76,syndactyly,Y,,,,
77,Weight,N,,,,
78,Income Range?,N,,,,
79,Cleverness,C,,,,
80,Ear - darwin's tubercle,Y,,,,
81,Earlobe:  Free or attached,Y,,,,
82,Brachydactyly,Y-G,,,,
83,Favorite Color/Colour,C,,,,
84,Penis Circumference at Glans,N,,,,
85,ABH Blood Group (antigens) ,C,,,,
86,SAT Writing,N,,,,
87,Anxiety,O,,,,
88,Metabolic Syndrome [MetS],Y-G,,,,
89,Farnsworth Munsell 100 Hue Test,N,,,,
90,Little fingers(pinkies),C,,,,
91,congenital talipes equinovarus (CTEV),Y,,,,
92,Reaction to poison ivy,O,,,,
93,double jointed thumbs,Y,,,,
94,ABO Rh,C,,,,
95,R1b1a2a1a1b,U,,,,
96,Ectopia Lentis,O,,,,
97,white skin,C,,,,
98,Sensitivity to smell,C,,,,
99,Good / poor eater as child,C,,,,
100,Response to Humira,Y-G,,,,
101,Otosclerosis,Y,,,,
102,apthous in mouth tendency,C,,,,
103,Age you had a heart attack,N,,,,
104,CMV serostatus,Y,,,,
105,SAT Math,N,,,,
106,ALS,O,,,,
107,Musical Perfect Pitch,Y,,,,
108,Skintype,C,,,,
109,MethyleneTetraHydroFolate Reductase (MTHFR),C,,,,
110,Preference for Loud Music,Y,,,,
111,Fainting Upon Seeing Blood/Gore/Violence,Y,,,,
112,Foot length,N,,,,
113,Like the taste of Stevia,Y,,,,
114,hair colour,C,,,,
115,Ambition,Y,,,,
116,Hereditary breast and ovarian cancer,U,,,,
117,Hair color changed from blonde to brown,C,,,,
118,Eyebrow Mover,Y,,,,
119,Fight or flight response (see description),C,,,,
120,No headaches EVER,Y,,,,
121,Walk in nature on the roads,C,,,,
122,First word,C,,,,
123,Pale ,C,,,,
124,Can you smell cut-grass?,O,,,,
125,Diego Blood Group,U,,,,
126,Non Alcoholic Fatty Liver,Y-G,,,,
127,Am I a duck?,U,,,,
128,Allergic rhinitis,C,,,,
129,Chest Pain on Ritalin,C,,,,
130,Hashimoto's,Y,,,,
131,Purposefulness ,O,,,,
132,You look like the flame of the fire?,C,,,,
133,ASMR,Y,,,,
134,Kidd Blood Group,C,,,,
135,number of biological children,N,,,,
136,ear proximity to head ,C,,,,
137,Dermatofibroma,Y-G,,,,
138,Cognitive impairment side effect on statin,C,,,,
139,Enjoy driving a car,Y,,,,
140,How many wisdom teeth did you have/ do you have (if you know).,N,,,,
141,Do you have a parent who was diagnosed with Alzheimer's disease?,Y,,,,
142,Grey hair very late ,O,,,,
143,Irritable Bowel Syndrome,Y,,,,
144,Colour Blindness,Y,,,,
145,"Gray eyes,fair skin, dark blonde, o- blood",C,,,,
146,Desmoid Tumor,O,,,,
147,Response to Methotrexate,U,,,,
148,Vegetarianism/Preference for Meat,C,,,,
149,Personality Disorder test - top result,C,,,,
150,Ehlers-Danlos,Y,,,,
151,Earwax type,C,,,,
152,ring finger longer than index finger,Y,,,,
153,Smell of coffee in urine,Y,,,,
154,Body complexity,C,,,,
155,Cramps,C,,,,
156,how do you like your steak?,C,,,,
157,Squizophrenia,O,,,,
158,Autism,Y,,,,
159,Gestures when speaking ,Y,,,,
160,Do you have dust-mite allergies,Y,,,,
161,Political Compass,N,,,,
162,Rh Factor: A Positive,C,,,,
163,Atheism,C,,,,
164,Subjective dream intensity,C,,,,
165,head form,C,,,,
166,Hair color,C,,,,
167,Freckling,C,,,,
168,Do you like the taste of hops?,Y,,,,
169,Age learned to read,N,,,,
170,Raynaud's,Y,,,,
171,Index Toe Longer than Big Toe,Y,,,,
172,Extra Fingers (Polydactyly),U,,,,
173,Ancestry,C,,,,
174,Supernumerary Kidney,Y-G,,,,
175,Interested in news from real newspaper / news from the Internet,C,,,,
176,Interest in Spirituality and Mysticism,C,,,,
177,ethnicity,C,,,,
178,Academic degree,C,,,,
179,Chronotype - Morningness-eveningness questionnaire (MEQ),C,,,,
180,lips size,C,,,,
181,Cholesterol,C,,,,
182,Social Level,C,,,,
183,Serotonin transporter,C,,,,
184,Atypical Sulfonomide Antibiotic Reaction,C,,,,
185,Cat or Dog person,C,,,,
186,Pectus Excavatum (sunken chest),Y,,,,
187,chronically sore neck glands,O,,,,
188,Do You Have Lucid Dreams?,Y,,,,
189, African,C,,,,
190,Coffee consumption,N,,,,
191,Neanderthal,N,,,,
192,Eye with Blue Halo ,Y,,,,
193,Sweat eating spicy food,Y,,,,
194,Prone to Cysts,Y,,,,
195,Sexuality,C,,,,
196,Woolnerian Tip (Darwin's Tubercle),Y,,,,
197,Pheochromocytoma,O,,,,
198,Digit ratio,N,,,,
199,Vitiligo,Y,,,,
200,Allergic/bad reaction to fish oil supplements,Y,,,,
201,Political Ideology,C,,,,
202,Wake up preference,C,,,,
203,Black,C,,,,
204,erectil disfunction ,Y,,,,
205,Strabismus,Y,,,,
206,Number of fingers,O,,,,
207,Resting Heart Rate ,N,,,,
208,Amblyopia,Y,,,,
209,Aspirin Allergy,Y,,,,
210,Are You The Advertising Phenotype?,Y,,,,
211,Wanting to be immortal,U,,,,
212,Morton's Toe,Y,,,,
213,Motion sickness,Y,,,,
214,Sensitivity to Mosquito Bites ,C,,,,
215,SAT - when taken,N,,,,
216,Would you invite strangers into your living space?,C,,,,
217,Retinitis pigmentosa,O,,,,
218,Penicillin reaction,Y,,,,
219,Do hops taste like soap?,C,,,,
220,Nickel Dermatitis,Y,,,,
221,Negative reaction to fluoroquinolone antibiotics,C,,,,
222,dark Blonde,C,,,,
223,Ability to find a bug in openSNP,C,,,,
224,Faktor 5 Leiden (F5),Y,,,,
225,Have ME/CFS,Y,,,,
226,Enjoy riding a motorbike,Y,,,,
227,SAT Verbal,N,,,,
228,natural skinny,C,,,,
229,Sporting activity participation,C,,,,
230,Persistant Muscle Pain or Fatigue,Y,,,,
231,Lactose intolerance,Y,,,,
232,Sense of smell,C,,,,
233,Acrophobia,Y,,,,
234,Eurogenes,C,,,,
235,Artistic ability,C,,,,
236,ADHD,Y,,,,
237,ABO Rh ,C,,,,
238,Fat-pad knee syndrome,Y,,,,
239,Asparagus Metabolite Detection,Y,,,,
240,Tea consumption,C,,,,
241,Taste of broccoli,Y,,,,
242,blood type,C,,,,
243,In both the large group of people is best for you ?for you ?,C,,,,
244,libido ,C,,,,
245,Adult Second Language Acquistion Aptitude,C,,,,
246,Hand span,N,,,,
247,Erythromycin allergy,Y,,,,
248,form of the nose,C,,,,
249,Response to Remicade,U,,,,
250,tes,O,,,,
251,Number of wisdom teeth,N,,,,
252,Physician-diagnosed celiac/coeliac disease,Y,,,,
253,Sport interest,C,,,,
254,mouth size,C,,,,
255,(male) penis releases pre-cum when sexually aroused.,Y,,,,
256,Mole (Nevus) type,C,,,,
257,african-northern european,C,,,,
258,Photic Sneeze Reflex (Photoptarmis),Y,,,,
259,brown hair colour,C,,,,
260,cluster headache,Y,,,,
261,Handwriting/Fine Motor Skills,C,,,,
262,Darkn,U,,,,
263,Age you started wearing glasses,N,,,,
264,Darkn.1,U,,,,
265,Does cilantro taste like soap to you?,Y,,,,
266,MSG tastes...,C,,,,
267,Degree of Empathy,C,,,,
268,Have You Been Diagnosed With Brown's Syndrome (Tendon Sheath Syndrome)?,Y,,,,
269,Peanut butter preference,C,,,,
270,Myers-Briggs Type Indicator,C,,,,
271,Panic Disorder,Y,,,,
272,Enjoy watching TV,C,,,,
273,Rythm Test Result,N,,,,
274,Jewish Ancestry,N,,,,
275,Marfan Syndrome,Y-G,,,,
276,eosinophilic disease,Y-G,,,,
277,Hypermobility,Y,,,,
278,Dupuytren's disease,O,,,,
279,Photophobia,Y,,,,
280,Hypertriglyceridemia,C,,,,
281,Allergy to Hair Dye,O,,,,
282,Dimple in the chin,Y,,,,
283,excessive daytime sleepiness,Y,,,,
284,Autoimmune disorder,C,,,,
285,Cystic Fibrosis Like Disease,O,,,,
286,Type II Diabetes,Y,,,,
287,Number of toes,N,,,,
288,Multiple Sclerosis,Y-G,,,,
289,Migraine frequency,N,,,,
290,Colon cancer ONLY FOR (rs3219489 GG)!,Y-G,,,,
291,Ear wiggling,Y,,,,
292,Cardiac Arterial Disease,Y-G,,,,
293,Acromegaly,O,,,,
294,nosebleeds as a child,Y,,,,
295,Synesthesia,Y-G,,,,
296,The Dress: Perception of colour,C,,,,
297,Allergic to Lexapro (Escitalopram),O,,,,
298,Third Nipple,Y-G,,,,
299,Y-DNA Haplogroup (ISOGG),U,,,,
300,Creutzfeldtâ€“Jakob disease,U,,,,
301,Affinity For Animals,O,,,,
302,Migraine,Y,,,,
303,Depression,Y,,,,
304,Bone Mineral Density,C,,,,
305,Sneezing induced by sexual ideation or orgasm?,Y,,,,
306,Widow's Peak,Y,,,,
307,mtDNA Haplogroup (PhyloTree),U,,,,
308,Physical Aversion to Certain Foods,C,,,,
309,Hair Type,C,,,,
310,Energy Level,C,,,,
311,Homophobia - Questionnaire Result,N,,,,
312,SLE - Lupus,Y,,,,
313,Rheumatoid Arthritis,Y,,,,
314,Handedness,C,,,,
315,Enjoy using the Internet,Y,,,,
316,Webbed toes,Y,,,,
317,Dyslexia,Y,,,,
318,Short-sightedness (Myopia),N,,,,
319,Supraventricuar Tachycardia,O,,,,
320,Asthma,Y,,,,
321,Nicotine dependence,N,,,,
322,Sex,N,,,,
323,Hair colour,C,,,,
324,Sports interest,C,,,,
325,sex drive,C,,,,
326,Blood type,C,,,,
327,hair on ear,Y,,,,
328,Ear Infections In Childhood,Y,,,,
329,Height,N,,,,
330,Fish Preference,C,,,,
331,Abnormal Blood Pressure,C,,,,
332,Hair Color,C,,,,
333,Moles raised,N,,,,
334,hair on fingers,Y,,,,
335,Phobia,C,,,,
336,Tongue roller,Y,,,,
337,Astigmatism,Y,,,,
338,Anorgasmia,Y,,,,
339,Skin - Fitzpatrick Scale,C,,,,
340,Eye color,C,,,,
